Type,Gender,Discipline,Classification,Threshold
outdoor,m,600m,"III j.",118
outdoor,m,800m,LM,106.5
outdoor,m,800m,SM,109.5
outdoor,m,800m,SMK,114
outdoor,m,800m,I,118
outdoor,m,800m,II,129
outdoor,m,800m,III,140
outdoor,m,800m,"I j.",150
outdoor,m,800m,"II j.",165
outdoor,m,800m,"III j.",175
outdoor,m,1000m,LM,138
outdoor,m,1000m,SM,141
outdoor,m,1000m,SMK,147
outdoor,m,1000m,I,155
outdoor,m,1000m,II,167
outdoor,m,1000m,III,180
outdoor,m,1000m,"I j.",195
outdoor,m,1000m,"II j.",210
outdoor,m,1000m,"III j.",220
outdoor,m,1500m,LM,218
outdoor,m,1500m,SM,227
outdoor,m,1500m,SMK,235
outdoor,m,1500m,I,244
outdoor,m,1500m,II,260
outdoor,m,1500m,III,280
outdoor,m,1500m,"I j.",300
outdoor,m,1500m,"II j.",325
outdoor,m,1500m,"III j.",340
outdoor,m,3000m,LM,472
outdoor,m,3000m,SM,485
outdoor,m,3000m,SMK,506
outdoor,m,3000m,I,535
outdoor,m,3000m,II,570
outdoor,m,3000m,III,620
outdoor,m,3000m,"I j.",660
outdoor,m,3000m,"II j.",720
outdoor,m,3000m,"III j.",750
outdoor,m,5000m,LM,810
outdoor,m,5000m,SM,840
outdoor,m,5000m,SMK,875
outdoor,m,5000m,I,920
outdoor,m,5000m,II,985
outdoor,m,5000m,III,1070
outdoor,m,5000m,"I j.",1130
outdoor,m,5000m,"II j.",1230
outdoor,m,10000m,LM,1700
outdoor,m,10000m,SM,1770
outdoor,m,10000m,SMK,1860
outdoor,m,10000m,I,1950
outdoor,m,10000m,II,2070
outdoor,m,10000m,III,2250
outdoor,m,4x100m,LM,39.1
outdoor,m,4x100m,SM,41.24
outdoor,m,4x100m,SMK,42.74
outdoor,m,4x100m,I,44.24
outdoor,m,4x100m,II,46.24
outdoor,m,4x100m,III,49.24
outdoor,m,4x100m,"I j.",50.9
outdoor,m,4x100m,"II j.",53.2
outdoor,m,4x100m,"III j.",56
outdoor,m,4x400m,LM,184.3
outdoor,m,4x400m,SM,189
outdoor,m,4x400m,SMK,196
outdoor,m,4x400m,I,204
outdoor,m,4x400m,II,216
outdoor,m,4x400m,III,232.14
outdoor,m,4x400m,"I j.",240
outdoor,m,4x400m,"II j.",252
outdoor,m,4x400m,"III j.",264
